location,area_sqft,bedrooms,bathrooms,balconies,age_years,distance_to_it_hub_km,nearest_metro_km,parking_spaces,amenity_score,price_lakh
Koramangala,1795,3,4,0,24,14.53,,3,53.6,189.68
HSR Layout,1067,1,2,3,28,24.35,8.76,0,71.5,86.19
Jayanagar,1720,3,3,0,22,2.46,8.78,1,95.4,240.91
Indiranagar,925,2,1,1,5,11.78,7.52,3,77.9,174.0
Marathahalli,4371,6,7,0,10,10.21,9.2,1,42.1,328.52
Koramangala,400,1,1,1,27,20.69,1.9,3,73.6,81.38
JP Nagar,1737,3,4,3,10,22.56,9.89,4,76.5,181.88
Sarjapur Road,455,2,1,2,18,22.72,3.86,4,74.9,70.12
Koramangala,1060,3,2,1,26,9.69,10.65,3,81.5,180.71
Jayanagar,1145,2,2,3,22,7.96,1.76,2,57.6,135.92
Jayanagar,2750,5,4,2,26,11.5,,1,48.6,297.62
Indiranagar,820,2,3,1,29,8.93,0.38,1,85.0,147.24
Marathahalli,2464,6,5,2,2,18.11,2.68,0,51.8,228.98
HSR Layout,627,2,1,0,12,5.73,1.54,1,46.8,89.85
Indiranagar,2517,6,5,3,26,16.64,6.74,1,61.6,318.27
Indiranagar,924,1,2,3,21,23.21,5.49,1,90.0,109.88
Sarjapur Road,1249,1,2,3,7,7.36,7.35,0,44.9,117.6
Bellandur,997,1,2,3,20,17.08,2.47,2,51.7,90.77
Marathahalli,2429,4,3,1,10,4.02,9.1,0,68.5,234.41
Electronic City,2183,5,5,0,10,3.47,7.4,2,57.3,232.31
Indiranagar,1531,3,4,2,12,3.33,2.81,0,83.3,261.45
Hebbal,637,1,1,3,2,3.89,4.91,2,80.5,112.7
Bellandur,810,2,3,3,5,5.8,8.67,0,90.6,145.65
Electronic City,682,1,1,1,23,14.29,,2,52.2,90.26
Hebbal,400,2,1,1,9,19.29,6.84,0,78.9,49.19
Marathahalli,2401,4,5,1,18,3.61,11.75,0,86.5,272.48
Whitefield,1002,1,2,0,11,21.82,1.76,1,43.8,79.64
Hebbal,996,2,2,2,28,21.15,,0,42.2,72.32
JP Nagar,2732,5,6,0,13,18.32,7.56,1,73.6,262.06
Bellandur,924,1,1,3,10,10.94,11.93,1,75.3,103.28
Hebbal,756,2,1,1,26,0.54,6.6,3,63.6,76.86
Yelahanka,1060,3,3,3,20,18.5,5.42,1,42.2,84.08
Whitefield,644,1,1,2,24,22.04,11.08,2,64.1,67.73
Jayanagar,1450,3,3,2,29,8.71,6.18,1,78.5,182.47
Jayanagar,977,1,1,0,29,18.09,11.28,1,82.1,89.48
JP Nagar,908,2,2,0,25,2.02,9.05,1,69.6,98.46
Hebbal,866,1,2,1,9,17.88,2.18,0,71.5,95.82
Hebbal,1132,2,3,1,2,2.17,,1,80.4,179.73
Sarjapur Road,1256,3,2,3,12,14.89,,1,67.0,152.55
Hebbal,902,1,2,1,27,15.14,1.0,0,55.8,39.71
Koramangala,985,3,3,1,26,7.9,,1,53.4,130.46
HSR Layout,1147,2,3,3,17,2.44,,3,85.2,191.72
Yelahanka,1085,3,3,2,26,23.76,,1,69.3,63.54
Sarjapur Road,1221,2,3,1,12,13.62,7.85,0,77.4,126.9
Marathahalli,827,1,1,1,29,14.7,11.78,2,68.3,82.25
Sarjapur Road,2085,5,5,3,23,15.57,2.49,2,89.1,222.89
Koramangala,1266,1,2,3,13,22.33,4.43,0,69.8,136.48
Marathahalli,910,2,1,3,29,1.98,0.49,1,99.3,100.29
Yelahanka,1450,3,4,3,13,22.39,2.94,0,54.6,100.59
Koramangala,1152,2,1,3,6,6.37,9.4,1,48.3,161.25
Electronic City,462,2,3,1,11,2.41,7.95,1,62.4,94.67
HSR Layout,1448,2,2,0,24,16.6,9.45,0,95.1,150.32
Yelahanka,685,1,1,0,3,24.44,5.22,0,91.1,85.23
Hebbal,2006,4,4,0,15,1.9,8.88,1,54.8,223.58
Electronic City,1051,2,2,1,18,10.94,7.27,2,76.0,103.76
JP Nagar,1843,6,6,2,9,13.48,4.08,0,75.3,254.65
Yelahanka,848,1,2,1,15,6.68,,1,57.6,38.58
JP Nagar,1247,2,3,0,4,24.58,6.59,0,54.1,65.07
Marathahalli,2335,4,5,0,26,16.2,11.49,0,63.4,211.84
Electronic City,1035,2,3,3,15,21.19,11.19,1,87.3,97.54
HSR Layout,867,1,1,3,0,10.69,11.84,3,51.5,123.2
Hebbal,1720,2,1,3,4,9.17,0.39,0,66.7,179.38
Hebbal,1702,3,3,1,12,14.05,,0,68.9,187.5
Koramangala,887,1,2,2,12,11.16,10.76,1,96.3,162.6
Hebbal,403,2,2,2,2,18.02,8.92,0,58.2,88.89
Indiranagar,858,1,1,3,16,7.01,5.11,0,41.2,112.84
Sarjapur Road,1742,5,5,2,18,11.51,8.75,0,81.6,221.44
Whitefield,784,2,1,0,4,22.43,5.44,0,85.3,82.48
HSR Layout,1193,3,3,0,4,19.02,8.63,1,82.2,169.76
Electronic City,836,2,2,3,14,4.62,9.41,1,82.0,81.8
Indiranagar,415,1,1,3,9,22.23,10.15,2,69.0,61.83
HSR Layout,828,1,1,3,11,14.93,8.79,0,41.1,88.95
Electronic City,1738,2,2,2,23,17.14,2.09,2,83.8,150.91
Bellandur,400,1,1,1,10,7.71,11.25,2,96.2,90.34
Bellandur,1379,3,3,3,0,11.32,2.72,1,49.4,181.94
JP Nagar,625,1,1,2,22,20.27,4.42,2,44.1,25.0
HSR Layout,1677,4,5,3,20,8.6,5.26,2,55.9,227.85
Bellandur,1777,3,3,1,2,4.54,8.61,2,91.0,221.95
Electronic City,1092,1,1,3,3,9.77,8.47,3,46.4,62.36
JP Nagar,1093,5,5,0,18,2.2,11.55,0,82.9,158.55
Hebbal,770,1,2,3,23,18.09,2.42,2,43.8,55.38
Electronic City,572,2,1,0,19,4.12,,0,42.0,36.9
JP Nagar,3053,4,3,0,2,7.49,2.6,0,93.5,285.94
HSR Layout,746,2,2,2,17,22.09,8.14,2,86.2,114.24
Indiranagar,2842,5,6,2,2,13.74,2.71,1,75.9,386.96
Koramangala,748,1,1,0,6,8.37,10.44,0,50.3,59.11
Hebbal,1602,3,4,0,21,13.92,11.8,1,56.7,166.04
Yelahanka,642,1,2,3,25,5.85,,0,42.9,39.6
Indiranagar,1600,3,3,3,27,1.12,8.92,0,78.7,265.39
Marathahalli,1003,2,3,0,28,15.29,6.49,1,81.2,86.79
Electronic City,1010,2,2,2,20,18.0,4.44,2,59.6,51.45
Marathahalli,1678,3,4,3,23,22.05,2.46,1,60.3,136.65
Indiranagar,927,2,1,3,26,19.41,8.69,0,77.7,98.81
JP Nagar,547,1,1,3,0,23.2,2.07,3,96.7,74.49
Yelahanka,1824,3,4,2,18,24.66,3.51,0,63.7,121.9
Hebbal,639,1,1,0,17,18.75,11.05,1,69.6,61.69
Hebbal,1594,3,2,3,1,21.76,6.2,1,81.9,174.3
Hebbal,2049,3,2,2,27,17.01,10.28,2,60.5,177.48
Yelahanka,976,1,1,2,26,4.69,9.26,1,92.1,104.34
Whitefield,2299,5,5,2,11,4.95,,1,90.8,262.7
Yelahanka,1564,3,4,2,16,3.2,2.77,0,80.5,155.39
Koramangala,818,1,1,3,20,23.6,1.38,0,72.2,98.45
Yelahanka,2594,6,7,0,20,16.98,,0,99.0,215.38
Indiranagar,640,1,2,0,2,19.85,4.03,0,82.1,111.39
Whitefield,975,1,2,2,11,8.61,8.14,2,78.6,121.3
Hebbal,1071,2,2,0,27,11.78,8.82,2,92.6,105.5
Indiranagar,1674,4,4,3,24,1.47,2.53,1,73.3,228.38
Indiranagar,2216,4,3,0,11,22.28,8.39,0,54.6,255.41
Jayanagar,2141,4,5,0,5,21.4,0.31,3,48.3,222.64
Sarjapur Road,1357,2,2,1,29,19.73,5.13,1,68.3,136.58
Whitefield,1029,1,1,0,9,1.93,4.33,0,70.9,129.67
Indiranagar,440,2,2,0,29,4.77,11.21,0,89.7,93.0
Sarjapur Road,582,1,1,2,21,8.69,11.84,2,48.4,27.03
Sarjapur Road,3171,6,6,2,25,6.95,3.6,1,80.9,287.09
Whitefield,437,2,3,1,5,21.04,7.4,2,58.2,70.27
Jayanagar,779,1,1,3,13,5.27,8.99,3,96.3,140.76
Marathahalli,2252,3,3,1,1,13.54,2.45,1,68.2,218.79
JP Nagar,1347,3,2,0,10,14.5,8.3,2,77.3,133.02
Koramangala,1999,2,3,0,14,10.91,,2,79.0,251.96
JP Nagar,1617,2,2,3,25,6.4,,1,45.5,147.4
Yelahanka,2693,6,7,3,25,24.03,10.24,0,91.1,241.45
Hebbal,1412,2,3,2,7,10.63,6.13,2,49.9,156.9
Koramangala,1728,4,4,0,21,18.32,3.7,1,63.8,194.38
Yelahanka,806,1,1,0,12,5.01,4.98,1,80.4,108.82
Indiranagar,1657,2,3,0,29,20.66,5.08,0,43.3,147.02
Hebbal,965,1,1,0,18,5.79,9.29,0,74.8,101.46
Electronic City,935,2,3,0,9,17.05,10.66,4,64.6,98.89
Whitefield,1963,5,6,0,8,12.91,5.81,1,43.8,226.4
Koramangala,1970,3,4,0,17,4.09,4.01,1,83.6,287.24
Koramangala,3037,6,6,0,6,1.11,8.78,1,70.1,419.73
Indiranagar,2930,4,5,2,2,23.3,10.88,1,58.2,367.0
Marathahalli,1987,3,4,1,11,3.58,1.55,1,45.1,192.81
Sarjapur Road,466,1,1,0,14,17.77,9.6,1,72.8,37.41
Hebbal,3279,6,6,2,21,16.49,6.77,2,58.4,337.87
Indiranagar,1988,4,4,0,20,8.87,10.44,0,96.8,251.01
Bellandur,787,1,2,3,12,5.04,6.27,0,75.5,110.41
Jayanagar,1792,3,2,0,5,4.87,10.38,0,57.1,215.92
Sarjapur Road,678,1,2,1,7,14.84,6.74,0,71.7,119.86
Whitefield,1686,3,4,2,13,13.9,1.91,1,72.4,158.74
Sarjapur Road,582,1,1,3,2,21.96,0.26,1,83.6,95.43
Marathahalli,769,2,1,3,15,16.18,7.52,0,94.1,100.97
Sarjapur Road,1773,3,4,0,17,20.57,7.19,0,97.8,169.52
Whitefield,2165,5,5,1,23,1.29,2.68,0,83.1,209.43
Marathahalli,1435,2,3,1,16,16.94,10.24,2,72.8,137.98
JP Nagar,1025,1,2,0,17,6.23,10.44,0,53.5,101.86
Koramangala,400,2,1,0,9,6.69,9.69,2,64.2,94.76
Koramangala,1070,2,1,2,16,18.15,11.25,1,69.3,159.86
Jayanagar,1609,2,1,2,15,19.94,6.18,0,47.7,163.38
Yelahanka,1008,2,3,0,20,9.61,8.49,3,55.4,86.7
JP Nagar,1185,3,2,0,23,19.86,10.87,0,99.1,150.27
JP Nagar,1084,2,2,3,1,11.37,5.58,1,85.4,169.67
Hebbal,1005,1,2,1,19,21.51,,2,68.9,81.24
Sarjapur Road,1251,2,1,2,3,1.11,6.25,0,53.6,117.87
Koramangala,1033,2,3,0,10,2.55,11.8,0,74.4,150.45
Whitefield,2654,5,6,0,26,19.52,5.36,2,53.9,251.97
HSR Layout,400,2,2,2,6,15.79,3.94,2,51.6,68.97
HSR Layout,889,1,1,3,16,14.2,7.63,2,45.6,73.93
Marathahalli,744,1,1,3,24,15.54,3.51,1,60.8,79.42
Koramangala,1354,5,6,0,18,23.29,10.32,2,72.5,199.77
Koramangala,1252,2,3,1,5,16.56,10.73,1,49.6,134.84
Jayanagar,2929,6,6,1,9,16.36,4.27,1,52.0,360.66
HSR Layout,3509,6,7,0,29,19.11,4.43,3,63.5,371.81
Koramangala,784,2,2,2,20,21.73,1.22,2,69.4,92.51
Jayanagar,1200,2,2,1,3,6.92,3.22,1,85.7,170.22
Sarjapur Road,1337,1,1,2,24,15.61,,0,74.0,103.27
Bellandur,774,1,1,2,26,14.81,9.14,2,77.1,93.68
Hebbal,1695,3,2,2,27,3.8,,1,81.8,210.93
Electronic City,1052,1,1,3,29,13.25,1.13,0,67.1,54.75
JP Nagar,667,1,2,1,24,2.2,2.14,0,60.6,50.91
Yelahanka,1029,2,1,3,0,5.03,4.65,1,88.0,117.33
Marathahalli,693,2,3,1,6,22.87,5.19,2,89.7,78.37
Bellandur,2122,4,5,0,25,3.42,10.8,0,49.2,206.74
Hebbal,3415,6,6,2,24,14.68,3.5,0,97.2,341.34
Hebbal,1373,4,4,1,20,8.43,8.67,1,95.8,164.25
Hebbal,1276,3,4,1,15,14.11,10.76,1,92.3,200.67
Hebbal,1305,3,3,0,16,6.26,10.31,2,65.4,163.9
HSR Layout,2299,4,4,3,23,11.39,2.55,3,90.5,288.08
Jayanagar,2272,4,4,1,4,21.75,3.5,1,77.7,226.18
