location,area_sqft,bedrooms,bathrooms,balconies,age_years,distance_to_it_hub_km,nearest_metro_km,parking_spaces,amenity_score,price_lakh
Sarjapur Road,635,3,4,2,19,10.96,8.7,1,96.6,500.28
Sarjapur Road,1146,3,3,0,34,21.5,,0,57.2,343.07
Koramangala,1053,1,1,3,31,8.94,4.55,0,64.5,356.2
Electronic City,702,1,2,2,20,24.56,4.18,1,78.0,306.47
HSR Layout,1441,3,4,1,14,27.4,6.81,1,64.3,340.28
JP Nagar,3797,6,7,1,5,2.42,2.93,2,69.3,663.13
Jayanagar,1791,3,4,1,27,26.79,6.47,3,71.3,471.37
Yelahanka,1257,2,3,3,14,23.88,2.77,3,55.7,162.34
Koramangala,902,3,4,2,19,20.15,10.6,1,42.3,342.39
Electronic City,1237,3,3,2,13,6.87,6.19,1,99.5,375.85
Whitefield,450,2,2,2,26,1.64,6.13,1,38.7,271.23
Electronic City,1154,1,2,2,1,7.97,3.2,0,73.0,298.35
Yelahanka,1058,1,1,2,3,15.93,10.57,0,60.6,220.04
Whitefield,1637,4,3,3,32,1.61,10.8,0,49.2,308.43
Whitefield,2223,4,4,0,10,6.53,1.64,4,70.3,550.9
Yelahanka,1948,3,2,0,17,10.72,4.41,4,40.4,389.74
HSR Layout,1101,1,1,2,22,2.52,13.36,0,47.2,456.92
Bellandur,857,1,2,0,16,10.03,,0,63.0,395.43
Whitefield,798,1,1,0,7,4.07,5.53,0,39.1,195.78
Whitefield,722,1,1,2,21,1.35,10.73,2,62.5,179.53
Bellandur,805,2,1,1,29,23.69,,1,38.2,268.73
Electronic City,1108,3,3,3,31,8.49,4.49,4,64.5,371.94
Indiranagar,543,1,2,1,17,10.51,5.2,3,85.2,410.41
HSR Layout,1601,2,1,0,26,11.01,7.42,2,44.5,452.22
Sarjapur Road,1118,2,2,1,5,7.47,11.18,1,40.9,280.49
Bellandur,697,4,3,0,15,17.59,,0,73.0,279.72
Indiranagar,792,2,3,1,27,9.6,2.74,3,43.3,346.58
Sarjapur Road,2070,4,5,0,26,15.31,7.49,2,52.1,481.04
Bellandur,2160,3,2,0,17,14.43,5.57,4,92.7,421.91
Hebbal,5669,6,7,3,7,28.69,13.47,1,45.3,712.77
Whitefield,1735,5,6,2,28,12.24,14.68,2,35.7,447.56
Indiranagar,774,1,1,1,1,12.76,6.92,1,85.2,457.05
Yelahanka,751,2,3,0,4,11.83,,2,45.8,294.6
HSR Layout,1545,2,2,2,13,18.51,4.54,2,45.0,418.68
Bellandur,2026,3,3,2,17,2.7,,0,41.4,485.4
Koramangala,2996,5,5,0,25,16.89,13.97,1,66.9,627.21
Electronic City,680,2,2,0,17,26.28,,1,90.9,153.39
Marathahalli,1281,1,2,1,29,16.76,13.29,0,51.4,382.35
Koramangala,564,2,2,1,2,23.2,7.79,2,79.8,245.01
Jayanagar,1536,3,4,1,18,5.13,5.52,1,62.7,447.76
Sarjapur Road,621,1,1,2,31,15.38,13.26,0,54.5,331.97
Electronic City,3090,4,5,2,34,19.71,0.96,1,93.6,396.45
Hebbal,724,1,1,2,30,6.94,11.28,0,68.0,277.68
HSR Layout,1783,2,3,0,8,26.13,1.42,0,90.4,313.6
JP Nagar,1324,1,1,1,9,12.75,14.59,1,60.8,416.54
Marathahalli,1239,2,1,3,2,18.53,9.33,1,87.7,457.5
Whitefield,450,2,3,0,19,23.47,2.73,1,80.3,259.69
Jayanagar,1131,2,2,3,20,9.55,13.78,3,47.2,324.33
Sarjapur Road,635,1,1,3,28,5.68,13.49,3,75.0,224.43
JP Nagar,820,1,2,3,25,15.2,7.65,0,85.1,408.52
JP Nagar,1649,3,2,3,13,19.98,13.05,0,63.8,321.75
Koramangala,6500,6,6,3,9,4.35,10.19,1,61.8,891.53
Sarjapur Road,4121,6,6,0,25,6.41,1.21,1,64.1,711.14
Bellandur,1679,3,3,0,24,21.43,8.23,2,59.6,495.36
Jayanagar,1542,4,5,3,15,1.17,12.06,2,92.8,513.97
Jayanagar,955,2,1,1,8,10.22,14.66,2,75.5,404.06
Bellandur,626,1,1,3,19,20.23,,0,51.2,301.51
Koramangala,1600,2,1,2,10,14.2,2.63,0,36.4,608.39
HSR Layout,899,1,2,1,13,25.81,6.36,0,75.7,255.27
JP Nagar,3758,6,6,1,3,11.38,6.7,1,47.6,673.16
Whitefield,4843,6,5,1,20,3.75,10.06,4,90.2,679.9
Koramangala,4824,6,5,1,24,11.43,5.94,2,38.0,718.78
Bellandur,794,2,1,2,25,22.77,5.89,2,44.6,263.73
Indiranagar,863,1,2,0,33,7.23,8.22,1,37.9,423.19
Jayanagar,546,2,3,3,5,19.86,11.24,1,37.9,300.97
Koramangala,1829,2,3,1,18,2.77,1.04,1,51.6,519.73
Indiranagar,688,1,1,3,27,10.39,9.43,2,50.0,335.69
Electronic City,810,2,1,1,12,26.25,10.04,1,93.9,159.48
Jayanagar,674,1,1,2,9,5.48,12.9,1,64.2,242.4
JP Nagar,836,1,1,1,19,27.56,13.06,4,88.4,514.03
Marathahalli,3516,6,7,3,15,10.51,,1,80.1,616.89
Indiranagar,450,1,1,0,30,4.93,7.7,3,47.4,317.6
Yelahanka,1689,6,5,2,23,15.52,13.76,1,42.3,270.21
Sarjapur Road,710,1,2,3,7,24.87,13.42,0,50.5,273.81
Bellandur,5507,6,5,2,34,21.52,14.62,0,52.2,777.67
Hebbal,2055,4,5,0,17,4.7,1.71,1,36.5,436.02
Electronic City,619,2,1,1,15,25.64,2.71,1,60.4,252.58
Sarjapur Road,807,1,1,3,7,22.12,11.03,1,85.1,347.15
Electronic City,829,2,2,2,26,19.83,6.54,1,99.4,199.11
Electronic City,2535,6,5,0,16,27.73,12.67,3,42.7,476.99
HSR Layout,3610,6,6,2,0,12.54,14.4,4,41.3,759.64
Marathahalli,1326,2,1,2,10,23.65,,3,91.6,312.63
Yelahanka,1093,1,1,1,31,11.19,2.51,3,45.9,173.95
Whitefield,2365,5,4,2,12,13.72,,3,42.2,548.02
Hebbal,1222,1,1,0,33,1.93,9.42,1,62.6,348.5
Jayanagar,1627,2,1,2,25,2.28,5.75,2,70.5,377.23
Electronic City,1386,3,2,2,4,29.23,6.36,1,61.0,353.25
Koramangala,719,2,2,0,7,9.94,8.12,2,76.1,251.17
HSR Layout,2911,4,3,3,21,16.76,1.72,1,50.5,631.26
HSR Layout,817,1,2,0,0,5.62,,1,62.7,329.63
Jayanagar,4229,6,5,3,18,7.41,13.86,2,55.1,681.54
Marathahalli,2584,5,6,1,17,8.18,7.81,0,91.1,477.28
Yelahanka,1361,2,1,3,12,8.49,,0,76.4,271.97
Indiranagar,535,1,2,2,22,9.68,,1,57.2,495.22
Yelahanka,3567,6,5,3,11,12.68,14.4,1,43.4,478.43
Sarjapur Road,1473,4,4,2,6,1.35,8.03,2,99.1,359.11
HSR Layout,2145,3,4,3,27,14.33,8.86,4,63.7,526.0
Jayanagar,3134,5,4,2,1,11.46,9.09,2,51.2,608.08
HSR Layout,579,2,1,0,24,14.61,9.47,0,58.2,335.26
HSR Layout,1520,1,1,2,29,24.5,8.71,1,44.6,370.36
Hebbal,939,2,1,1,33,21.77,14.3,1,49.4,355.35
Koramangala,1477,2,2,2,32,3.72,,3,76.3,433.1
Yelahanka,1615,2,2,1,34,29.97,1.68,0,50.3,322.48
Indiranagar,450,1,1,2,31,10.0,4.99,3,97.7,302.49
Koramangala,1035,2,3,0,0,12.89,12.18,0,73.0,461.42
HSR Layout,1272,2,1,2,4,7.15,13.06,2,66.6,410.45
Yelahanka,532,1,1,3,34,14.57,5.39,1,83.3,258.64
Koramangala,744,1,1,1,11,18.14,2.53,3,76.3,368.74
Koramangala,1301,2,2,0,16,9.88,2.19,1,71.4,455.97
Jayanagar,1875,2,3,2,12,18.53,8.66,3,54.7,464.39
Koramangala,1091,2,3,1,24,25.63,13.75,2,93.6,457.18
Electronic City,762,2,1,3,4,17.62,13.14,2,40.4,123.89
JP Nagar,625,2,3,3,3,12.98,12.31,0,83.1,363.38
HSR Layout,951,1,1,1,33,9.03,1.43,2,68.5,275.53
Bellandur,714,1,2,2,13,15.19,11.09,0,90.5,268.41
HSR Layout,1767,3,3,2,23,16.54,11.81,0,91.6,445.37
Electronic City,1414,3,2,2,0,26.7,3.16,2,84.3,349.42
Whitefield,786,1,2,1,9,7.25,,2,53.9,268.57
Marathahalli,1392,3,4,0,0,3.65,9.7,3,84.3,457.43
Hebbal,5458,6,7,1,9,28.58,1.09,2,38.4,705.67
Koramangala,1957,2,2,1,7,2.77,12.67,0,52.4,648.48
Jayanagar,1416,3,4,2,0,29.92,11.95,3,65.7,496.77
Hebbal,1913,2,1,3,7,25.1,,0,80.2,424.68
Yelahanka,2729,5,6,2,12,28.36,8.78,1,84.3,500.89
Electronic City,450,1,1,0,25,28.7,4.16,1,55.5,281.98
Whitefield,910,1,1,3,19,29.5,9.63,1,98.5,293.92
