location,property_type,bedrooms,bathrooms,area_sqft,age_years,floor,parking_spaces,metro_distance_km,clubhouse,swimming_pool,gym,security_rating,price_inr
Sector 89,Apartment,3,4,2199,12,20,2,3.05,1,1,0,5,45127167
Sohna Road,Villa,2,3,1246,24,5,3,6.36,1,0,1,2,22401617
Golf Course Extension Road,Builder Floor,1,2,633,8,41,2,9.4,1,0,1,3,28080166
Sector 83,Apartment,4,4,3385,13,32,2,9.47,1,0,1,1,61408315
Sector 89,Apartment,3,3,1540,0,27,4,0.1,1,0,1,2,29451832
Golf Course Road,Apartment,3,4,1556,8,4,1,13.82,1,1,1,1,54993949
Sector 92,Apartment,5,5,3600,3,41,3,12.36,1,1,1,3,69045949
New Gurgaon,Villa,3,4,1622,11,7,2,14.46,0,1,1,2,24786064
Sector 54,Apartment,3,4,2473,23,14,2,5.46,1,1,1,2,43154577
DLF Phase 5,Builder Floor,4,4,2960,13,39,3,10.01,0,0,1,2,73560012
Sector 83,Apartment,2,2,1096,8,24,2,2.6,1,0,0,4,15683891
Golf Course Extension Road,Penthouse,3,4,1039,2,18,2,12.27,1,1,1,2,38497505
DLF Phase 5,Builder Floor,5,5,1983,5,38,2,2.5,1,1,1,2,63616221
Sector 54,Apartment,5,6,2662,2,39,0,4.96,1,0,1,3,54129607
Sector 82,Apartment,4,5,2626,0,40,2,7.41,1,1,1,3,61189957
DLF Phase 3,Apartment,3,4,2262,21,1,1,8.96,0,1,1,4,51811104
DLF Phase 5,Apartment,4,5,2278,20,17,3,8.44,1,1,1,2,60107732
South City 1,Apartment,1,1,475,2,26,1,1.62,1,1,1,5,11593607
New Gurgaon,Apartment,2,3,1160,13,22,2,6.38,0,0,0,1,23611352
DLF Phase 5,Apartment,3,4,1808,19,39,3,13.85,0,1,0,2,51886742
Sector 57,Apartment,3,4,2348,1,18,3,13.1,1,0,1,4,42867255
Sector 82,Apartment,2,2,1549,11,38,2,8.9,1,1,1,5,31583701
DLF Phase 3,Apartment,3,4,1379,9,28,2,8.63,0,0,0,3,34411653
Golf Course Road,Apartment,2,3,1327,12,21,1,1.76,0,0,1,1,49171448
Sector 84,Apartment,3,3,1441,19,38,1,3.08,1,0,1,4,27206925
New Gurgaon,Builder Floor,4,5,1937,3,33,1,3.86,0,0,1,3,42289981
Sohna Road,Apartment,3,4,2236,18,30,3,7.37,1,0,0,2,45108390
New Gurgaon,Apartment,2,3,1144,21,42,1,11.0,1,1,0,4,14898508
Sector 54,Apartment,3,4,2068,0,8,2,6.96,0,1,0,2,38373278
Golf Course Road,Apartment,3,3,2024,24,30,1,1.98,1,0,1,4,51984661
Sohna Road,Apartment,3,3,1766,10,39,2,6.65,1,1,0,4,36215218
Sector 56,Apartment,3,3,1939,15,9,2,2.52,1,1,1,2,40350257
DLF Phase 3,Apartment,3,4,1885,18,33,3,11.29,1,0,1,4,42888463
South City 1,Villa,5,5,2194,18,43,1,2.58,1,1,1,3,47001541
Sector 70,Penthouse,2,2,1336,11,29,1,7.29,1,1,1,3,25955058
South City 1,Builder Floor,3,4,1503,2,31,1,10.43,1,1,1,1,32040277
Sector 70,Apartment,3,3,1350,22,3,1,3.5,0,1,0,1,27374293
Sector 56,Apartment,3,3,2158,23,38,2,1.23,0,0,1,4,40006711
Sector 65,Builder Floor,2,2,1034,17,11,1,8.49,1,0,0,3,17076217
Golf Course Road,Apartment,2,3,1510,16,5,1,0.91,1,1,0,2,48709550
Sector 65,Apartment,2,3,1507,4,31,3,8.86,0,0,1,4,23826986
South City 1,Apartment,5,5,2666,15,20,2,11.33,1,1,0,2,44530692
Sector 70,Apartment,4,4,2998,23,4,1,5.01,1,0,1,5,53192858
DLF Phase 2,Villa,3,4,1636,13,8,1,7.38,0,0,1,1,35747813
Sector 57,Apartment,4,5,2361,18,42,1,13.94,0,0,1,4,39879338
Sector 56,Builder Floor,2,3,1338,5,35,2,7.12,0,1,0,4,24059081
Sector 84,Apartment,4,5,3542,2,13,2,14.95,1,1,1,2,63275040
Sector 84,Apartment,3,3,2195,5,5,2,2.44,1,0,0,1,39620226
DLF Phase 3,Apartment,2,3,1183,11,40,1,10.66,0,1,0,2,31202525
Sector 89,Apartment,4,4,2457,19,19,2,9.82,1,0,1,2,45752105
DLF Phase 1,Penthouse,4,5,1513,10,18,2,13.1,1,0,1,1,32651029
Sector 65,Builder Floor,4,5,2962,6,33,2,1.48,1,0,1,5,53819103
Golf Course Extension Road,Villa,2,3,1451,0,4,3,4.28,0,1,0,3,37549964
DLF Phase 4,Villa,5,6,3198,15,18,1,2.07,1,1,1,3,76986975
Sector 56,Apartment,5,5,3502,15,24,1,14.0,0,1,0,5,58240344
Sector 67,Villa,3,3,949,16,43,3,6.46,0,0,1,1,23657770
DLF Phase 2,Apartment,2,2,897,14,29,1,13.66,0,1,0,4,16948287
Sector 56,Apartment,2,3,1704,20,31,1,4.49,0,1,1,1,32331658
New Gurgaon,Apartment,5,5,2819,8,28,2,1.98,1,0,1,2,57222688
Palam Vihar,Apartment,3,4,2118,4,9,2,4.52,1,0,1,1,40166913
DLF Phase 4,Apartment,3,4,1486,19,26,3,9.0,1,1,0,3,47247062
Sector 85,Apartment,2,2,1076,7,2,1,12.69,0,0,1,4,19669141
DLF Phase 5,Builder Floor,2,3,1719,20,6,1,5.84,1,1,1,5,47401191
Sector 89,Apartment,3,4,1733,0,29,1,13.73,1,0,1,1,28456040
DLF Phase 2,Apartment,3,3,2019,6,26,2,3.74,1,1,0,4,38615176
Sector 65,Apartment,5,6,3091,10,28,1,10.43,0,0,1,4,55533400
Sector 84,Apartment,3,4,1903,19,7,2,11.06,1,0,0,3,31761940
Sector 56,Builder Floor,4,4,2518,20,34,0,4.18,0,1,0,2,43755646
DLF Phase 2,Apartment,2,2,646,12,10,1,0.5,1,1,0,4,17351360
Golf Course Road,Penthouse,2,3,1333,21,41,2,5.54,1,1,0,4,43404556
Sohna Road,Builder Floor,3,3,1574,12,40,4,0.77,1,0,1,1,28126970
Sector 89,Apartment,2,3,1698,6,22,3,13.52,1,0,1,5,25517564
Sector 54,Apartment,2,2,983,10,27,4,14.31,0,1,1,1,19706597
Sector 65,Builder Floor,5,6,2669,17,39,2,11.06,0,0,1,3,52814142
Sector 57,Builder Floor,3,3,2827,0,22,0,10.93,0,1,1,4,47902147
DLF Phase 2,Builder Floor,2,2,1402,11,19,1,3.69,1,1,1,2,24891094
Sohna Road,Builder Floor,2,3,924,2,36,2,1.2,0,1,1,4,24408070
Sector 54,Apartment,2,2,1249,0,9,1,12.05,1,1,1,2,23690111
New Gurgaon,Apartment,5,5,2145,3,19,1,8.43,0,0,1,2,45584555
DLF Phase 4,Apartment,2,3,1272,5,2,1,10.26,0,1,1,2,39690401
Sector 56,Villa,2,2,974,4,28,2,11.72,0,1,0,5,16504587
New Gurgaon,Builder Floor,3,3,2583,10,39,1,6.2,1,1,1,1,46956545
Sector 92,Apartment,2,2,1317,19,22,1,2.25,1,0,0,3,23877339
Sector 83,Apartment,2,3,1347,22,6,2,11.95,1,0,1,5,21835578
Sohna Road,Apartment,2,2,1465,12,7,1,6.86,0,1,1,5,25553938
DLF Phase 4,Apartment,2,3,1497,10,6,2,12.42,0,1,1,2,37345174
Sector 56,Builder Floor,2,3,1007,5,33,2,6.62,1,1,1,5,24955290
Sector 65,Builder Floor,1,1,613,18,14,1,3.33,0,1,1,3,11286424
Sector 70,Villa,4,5,2150,24,1,3,2.65,0,1,1,3,42276813
Sector 83,Apartment,2,3,1786,14,25,0,11.18,0,0,1,4,29868081
Palam Vihar,Apartment,4,5,1120,20,6,2,8.67,1,0,1,5,27891240
Sector 85,Builder Floor,4,5,2077,12,28,2,6.13,1,1,1,4,38029002
New Gurgaon,Builder Floor,3,3,1766,9,18,4,7.43,0,1,1,3,42701647
Palam Vihar,Apartment,2,2,1238,0,27,2,8.29,1,1,1,5,27860344
New Gurgaon,Builder Floor,2,2,1232,12,2,1,3.67,1,1,0,2,24310490
Sector 65,Apartment,4,5,2374,5,40,2,5.73,1,1,0,2,52438012
Sector 85,Apartment,3,4,1731,20,21,1,4.46,0,0,1,5,33599253
Golf Course Extension Road,Apartment,3,3,1901,23,23,2,5.89,1,1,1,4,52861442
Sector 92,Apartment,1,2,664,19,2,1,7.56,1,0,1,4,17868861
South City 1,Apartment,5,5,4253,11,16,2,2.68,0,0,1,2,79336904
Golf Course Extension Road,Apartment,2,3,1698,16,4,1,5.96,1,0,0,4,41495390
Sector 57,Builder Floor,3,3,1926,17,34,2,5.84,1,1,1,2,35591508
DLF Phase 1,Apartment,3,3,1591,23,5,2,4.36,1,1,1,1,29029321
Golf Course Road,Apartment,1,1,540,7,34,1,14.98,0,1,1,2,33284208
Golf Course Road,Villa,3,4,1248,13,22,3,1.2,0,0,1,1,45623034
Palam Vihar,Apartment,4,4,2933,4,20,2,9.68,1,0,1,5,54025445
Sector 65,Apartment,4,5,2374,21,39,1,2.7,1,0,1,1,37992671
Palam Vihar,Builder Floor,4,5,2644,1,13,0,12.61,1,0,0,3,46048514
Sector 65,Apartment,3,3,1940,24,44,2,13.72,1,0,1,4,33798442
Sector 56,Apartment,3,3,1506,21,34,1,6.08,1,0,0,1,29212757
South City 1,Apartment,2,3,970,24,44,3,12.37,1,0,1,3,20551217
Golf Course Road,Apartment,3,4,1609,10,6,0,3.82,0,0,0,3,53224849
Sector 84,Villa,2,2,1336,2,29,0,2.19,1,1,1,4,25432780
Sector 89,Builder Floor,3,3,1766,21,33,3,4.81,1,1,1,2,31633162
Sector 85,Builder Floor,2,3,705,15,1,4,5.19,0,1,1,3,14477557
Golf Course Road,Villa,3,3,1369,20,7,0,6.02,0,1,1,1,53819086
Sector 89,Builder Floor,3,3,1687,15,22,2,5.66,0,1,1,4,31155696
Sector 56,Apartment,4,4,2382,8,32,1,6.23,1,0,1,1,46406450
Sohna Road,Villa,3,3,2016,12,14,2,10.68,0,1,1,2,35530092
